material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,parent_slab_file,notes
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,1,data\h2o_adsorbates\MAT_012_H2O_site1.cif,data\substituted_slabs\MAT_012_110_slab.cif,H2O adsorption structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,2,data\h2o_adsorbates\MAT_012_H2O_site2.cif,data\substituted_slabs\MAT_012_110_slab.cif,H2O adsorption structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,0,data\h2o_adsorbates\MAT_013_H2O_site0.cif,data\substituted_slabs\MAT_013_110_slab.cif,H2O adsorption structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,1,data\h2o_adsorbates\MAT_013_H2O_site1.cif,data\substituted_slabs\MAT_013_110_slab.cif,H2O adsorption structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,2,data\h2o_adsorbates\MAT_013_H2O_site2.cif,data\substituted_slabs\MAT_013_110_slab.cif,H2O adsorption structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,0,data\h2o_adsorbates\MAT_014_H2O_site0.cif,data\substituted_slabs\MAT_014_110_slab.cif,H2O adsorption structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,1,data\h2o_adsorbates\MAT_014_H2O_site1.cif,data\substituted_slabs\MAT_014_110_slab.cif,H2O adsorption structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,2,data\h2o_adsorbates\MAT_014_H2O_site2.cif,data\substituted_slabs\MAT_014_110_slab.cif,H2O adsorption structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,0,data\h2o_adsorbates\MAT_015_H2O_site0.cif,data\substituted_slabs\MAT_015_110_slab.cif,H2O adsorption structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,1,data\h2o_adsorbates\MAT_015_H2O_site1.cif,data\substituted_slabs\MAT_015_110_slab.cif,H2O adsorption structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,2,data\h2o_adsorbates\MAT_015_H2O_site2.cif,data\substituted_slabs\MAT_015_110_slab.cif,H2O adsorption structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,0,data\h2o_adsorbates\MAT_017_H2O_site0.cif,data\substituted_slabs\MAT_017_110_slab.cif,H2O adsorption structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,1,data\h2o_adsorbates\MAT_017_H2O_site1.cif,data\substituted_slabs\MAT_017_110_slab.cif,H2O adsorption structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,2,data\h2o_adsorbates\MAT_017_H2O_site2.cif,data\substituted_slabs\MAT_017_110_slab.cif,H2O adsorption structure
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,0,data\h2o_adsorbates\MAT_018_H2O_site0.cif,data\substituted_slabs\MAT_018_110_slab.cif,H2O adsorption structure
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,1,data\h2o_adsorbates\MAT_018_H2O_site1.cif,data\substituted_slabs\MAT_018_110_slab.cif,H2O adsorption structure
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,2,data\h2o_adsorbates\MAT_018_H2O_site2.cif,data\substituted_slabs\MAT_018_110_slab.cif,H2O adsorption structure
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,0,data\h2o_adsorbates\MAT_019_H2O_site0.cif,data\substituted_slabs\MAT_019_110_slab.cif,H2O adsorption structure
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,1,data\h2o_adsorbates\MAT_019_H2O_site1.cif,data\substituted_slabs\MAT_019_110_slab.cif,H2O adsorption structure
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,2,data\h2o_adsorbates\MAT_019_H2O_site2.cif,data\substituted_slabs\MAT_019_110_slab.cif,H2O adsorption structure
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,0,data\h2o_adsorbates\MAT_020_H2O_site0.cif,data\substituted_slabs\MAT_020_110_slab.cif,H2O adsorption structure
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,1,data\h2o_adsorbates\MAT_020_H2O_site1.cif,data\substituted_slabs\MAT_020_110_slab.cif,H2O adsorption structure
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,2,data\h2o_adsorbates\MAT_020_H2O_site2.cif,data\substituted_slabs\MAT_020_110_slab.cif,H2O adsorption structure
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,0,data\h2o_adsorbates\MAT_022_H2O_site0.cif,data\substituted_slabs\MAT_022_110_slab.cif,H2O adsorption structure
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,1,data\h2o_adsorbates\MAT_022_H2O_site1.cif,data\substituted_slabs\MAT_022_110_slab.cif,H2O adsorption structure
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,2,data\h2o_adsorbates\MAT_022_H2O_site2.cif,data\substituted_slabs\MAT_022_110_slab.cif,H2O adsorption structure
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,0,data\h2o_adsorbates\MAT_023_H2O_site0.cif,data\substituted_slabs\MAT_023_110_slab.cif,H2O adsorption structure
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,1,data\h2o_adsorbates\MAT_023_H2O_site1.cif,data\substituted_slabs\MAT_023_110_slab.cif,H2O adsorption structure
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,2,data\h2o_adsorbates\MAT_023_H2O_site2.cif,data\substituted_slabs\MAT_023_110_slab.cif,H2O adsorption structure
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,0,data\h2o_adsorbates\MAT_024_H2O_site0.cif,data\substituted_slabs\MAT_024_110_slab.cif,H2O adsorption structure
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,1,data\h2o_adsorbates\MAT_024_H2O_site1.cif,data\substituted_slabs\MAT_024_110_slab.cif,H2O adsorption structure
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,2,data\h2o_adsorbates\MAT_024_H2O_site2.cif,data\substituted_slabs\MAT_024_110_slab.cif,H2O adsorption structure
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,0,data\h2o_adsorbates\MAT_025_H2O_site0.cif,data\substituted_slabs\MAT_025_110_slab.cif,H2O adsorption structure
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,1,data\h2o_adsorbates\MAT_025_H2O_site1.cif,data\substituted_slabs\MAT_025_110_slab.cif,H2O adsorption structure
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,2,data\h2o_adsorbates\MAT_025_H2O_site2.cif,data\substituted_slabs\MAT_025_110_slab.cif,H2O adsorption structure
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,0,data\h2o_adsorbates\MAT_027_H2O_site0.cif,data\substituted_slabs\MAT_027_110_slab.cif,H2O adsorption structure
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,1,data\h2o_adsorbates\MAT_027_H2O_site1.cif,data\substituted_slabs\MAT_027_110_slab.cif,H2O adsorption structure
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,2,data\h2o_adsorbates\MAT_027_H2O_site2.cif,data\substituted_slabs\MAT_027_110_slab.cif,H2O adsorption structure
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,0,data\h2o_adsorbates\MAT_028_H2O_site0.cif,data\substituted_slabs\MAT_028_110_slab.cif,H2O adsorption structure
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,1,data\h2o_adsorbates\MAT_028_H2O_site1.cif,data\substituted_slabs\MAT_028_110_slab.cif,H2O adsorption structure
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,2,data\h2o_adsorbates\MAT_028_H2O_site2.cif,data\substituted_slabs\MAT_028_110_slab.cif,H2O adsorption structure
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,0,data\h2o_adsorbates\MAT_029_H2O_site0.cif,data\substituted_slabs\MAT_029_110_slab.cif,H2O adsorption structure
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,1,data\h2o_adsorbates\MAT_029_H2O_site1.cif,data\substituted_slabs\MAT_029_110_slab.cif,H2O adsorption structure
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,2,data\h2o_adsorbates\MAT_029_H2O_site2.cif,data\substituted_slabs\MAT_029_110_slab.cif,H2O adsorption structure
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,0,data\h2o_adsorbates\MAT_030_H2O_site0.cif,data\substituted_slabs\MAT_030_110_slab.cif,H2O adsorption structure
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,1,data\h2o_adsorbates\MAT_030_H2O_site1.cif,data\substituted_slabs\MAT_030_110_slab.cif,H2O adsorption structure
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,2,data\h2o_adsorbates\MAT_030_H2O_site2.cif,data\substituted_slabs\MAT_030_110_slab.cif,H2O adsorption structure
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,0,data\h2o_adsorbates\MAT_032_H2O_site0.cif,data\substituted_slabs\MAT_032_110_slab.cif,H2O adsorption structure
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,1,data\h2o_adsorbates\MAT_032_H2O_site1.cif,data\substituted_slabs\MAT_032_110_slab.cif,H2O adsorption structure
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,2,data\h2o_adsorbates\MAT_032_H2O_site2.cif,data\substituted_slabs\MAT_032_110_slab.cif,H2O adsorption structure
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,0,data\h2o_adsorbates\MAT_033_H2O_site0.cif,data\substituted_slabs\MAT_033_110_slab.cif,H2O adsorption structure
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,1,data\h2o_adsorbates\MAT_033_H2O_site1.cif,data\substituted_slabs\MAT_033_110_slab.cif,H2O adsorption structure
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,2,data\h2o_adsorbates\MAT_033_H2O_site2.cif,data\substituted_slabs\MAT_033_110_slab.cif,H2O adsorption structure
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,0,data\h2o_adsorbates\MAT_034_H2O_site0.cif,data\substituted_slabs\MAT_034_110_slab.cif,H2O adsorption structure
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,1,data\h2o_adsorbates\MAT_034_H2O_site1.cif,data\substituted_slabs\MAT_034_110_slab.cif,H2O adsorption structure
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,2,data\h2o_adsorbates\MAT_034_H2O_site2.cif,data\substituted_slabs\MAT_034_110_slab.cif,H2O adsorption structure
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,0,data\h2o_adsorbates\MAT_035_H2O_site0.cif,data\substituted_slabs\MAT_035_110_slab.cif,H2O adsorption structure
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,1,data\h2o_adsorbates\MAT_035_H2O_site1.cif,data\substituted_slabs\MAT_035_110_slab.cif,H2O adsorption structure
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,2,data\h2o_adsorbates\MAT_035_H2O_site2.cif,data\substituted_slabs\MAT_035_110_slab.cif,H2O adsorption structure
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,0,data\h2o_adsorbates\MAT_037_H2O_site0.cif,data\substituted_slabs\MAT_037_110_slab.cif,H2O adsorption structure
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,1,data\h2o_adsorbates\MAT_037_H2O_site1.cif,data\substituted_slabs\MAT_037_110_slab.cif,H2O adsorption structure
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,2,data\h2o_adsorbates\MAT_037_H2O_site2.cif,data\substituted_slabs\MAT_037_110_slab.cif,H2O adsorption structure
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,0,data\h2o_adsorbates\MAT_038_H2O_site0.cif,data\substituted_slabs\MAT_038_110_slab.cif,H2O adsorption structure
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,1,data\h2o_adsorbates\MAT_038_H2O_site1.cif,data\substituted_slabs\MAT_038_110_slab.cif,H2O adsorption structure
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,2,data\h2o_adsorbates\MAT_038_H2O_site2.cif,data\substituted_slabs\MAT_038_110_slab.cif,H2O adsorption structure
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,0,data\h2o_adsorbates\MAT_039_H2O_site0.cif,data\substituted_slabs\MAT_039_110_slab.cif,H2O adsorption structure
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,1,data\h2o_adsorbates\MAT_039_H2O_site1.cif,data\substituted_slabs\MAT_039_110_slab.cif,H2O adsorption structure
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,2,data\h2o_adsorbates\MAT_039_H2O_site2.cif,data\substituted_slabs\MAT_039_110_slab.cif,H2O adsorption structure
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,0,data\h2o_adsorbates\MAT_040_H2O_site0.cif,data\substituted_slabs\MAT_040_110_slab.cif,H2O adsorption structure
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,1,data\h2o_adsorbates\MAT_040_H2O_site1.cif,data\substituted_slabs\MAT_040_110_slab.cif,H2O adsorption structure
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,2,data\h2o_adsorbates\MAT_040_H2O_site2.cif,data\substituted_slabs\MAT_040_110_slab.cif,H2O adsorption structure
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,0,data\h2o_adsorbates\MAT_042_H2O_site0.cif,data\substituted_slabs\MAT_042_110_slab.cif,H2O adsorption structure
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,1,data\h2o_adsorbates\MAT_042_H2O_site1.cif,data\substituted_slabs\MAT_042_110_slab.cif,H2O adsorption structure
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,2,data\h2o_adsorbates\MAT_042_H2O_site2.cif,data\substituted_slabs\MAT_042_110_slab.cif,H2O adsorption structure
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,0,data\h2o_adsorbates\MAT_043_H2O_site0.cif,data\substituted_slabs\MAT_043_110_slab.cif,H2O adsorption structure
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,1,data\h2o_adsorbates\MAT_043_H2O_site1.cif,data\substituted_slabs\MAT_043_110_slab.cif,H2O adsorption structure
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,2,data\h2o_adsorbates\MAT_043_H2O_site2.cif,data\substituted_slabs\MAT_043_110_slab.cif,H2O adsorption structure
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,0,data\h2o_adsorbates\MAT_044_H2O_site0.cif,data\substituted_slabs\MAT_044_110_slab.cif,H2O adsorption structure
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,1,data\h2o_adsorbates\MAT_044_H2O_site1.cif,data\substituted_slabs\MAT_044_110_slab.cif,H2O adsorption structure
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,2,data\h2o_adsorbates\MAT_044_H2O_site2.cif,data\substituted_slabs\MAT_044_110_slab.cif,H2O adsorption structure
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,0,data\h2o_adsorbates\MAT_045_H2O_site0.cif,data\substituted_slabs\MAT_045_110_slab.cif,H2O adsorption structure
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,1,data\h2o_adsorbates\MAT_045_H2O_site1.cif,data\substituted_slabs\MAT_045_110_slab.cif,H2O adsorption structure
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,2,data\h2o_adsorbates\MAT_045_H2O_site2.cif,data\substituted_slabs\MAT_045_110_slab.cif,H2O adsorption structure
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,0,data\h2o_adsorbates\MAT_047_H2O_site0.cif,data\substituted_slabs\MAT_047_110_slab.cif,H2O adsorption structure
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,1,data\h2o_adsorbates\MAT_047_H2O_site1.cif,data\substituted_slabs\MAT_047_110_slab.cif,H2O adsorption structure
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,2,data\h2o_adsorbates\MAT_047_H2O_site2.cif,data\substituted_slabs\MAT_047_110_slab.cif,H2O adsorption structure
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,0,data\h2o_adsorbates\MAT_048_H2O_site0.cif,data\substituted_slabs\MAT_048_110_slab.cif,H2O adsorption structure
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,1,data\h2o_adsorbates\MAT_048_H2O_site1.cif,data\substituted_slabs\MAT_048_110_slab.cif,H2O adsorption structure
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,2,data\h2o_adsorbates\MAT_048_H2O_site2.cif,data\substituted_slabs\MAT_048_110_slab.cif,H2O adsorption structure
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,0,data\h2o_adsorbates\MAT_049_H2O_site0.cif,data\substituted_slabs\MAT_049_110_slab.cif,H2O adsorption structure
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,1,data\h2o_adsorbates\MAT_049_H2O_site1.cif,data\substituted_slabs\MAT_049_110_slab.cif,H2O adsorption structure
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,2,data\h2o_adsorbates\MAT_049_H2O_site2.cif,data\substituted_slabs\MAT_049_110_slab.cif,H2O adsorption structure
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,0,data\h2o_adsorbates\MAT_050_H2O_site0.cif,data\substituted_slabs\MAT_050_110_slab.cif,H2O adsorption structure
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,1,data\h2o_adsorbates\MAT_050_H2O_site1.cif,data\substituted_slabs\MAT_050_110_slab.cif,H2O adsorption structure
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,2,data\h2o_adsorbates\MAT_050_H2O_site2.cif,data\substituted_slabs\MAT_050_110_slab.cif,H2O adsorption structure
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,0,data\h2o_adsorbates\MAT_052_H2O_site0.cif,data\substituted_slabs\MAT_052_110_slab.cif,H2O adsorption structure
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,1,data\h2o_adsorbates\MAT_052_H2O_site1.cif,data\substituted_slabs\MAT_052_110_slab.cif,H2O adsorption structure
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,2,data\h2o_adsorbates\MAT_052_H2O_site2.cif,data\substituted_slabs\MAT_052_110_slab.cif,H2O adsorption structure
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,0,data\h2o_adsorbates\MAT_053_H2O_site0.cif,data\substituted_slabs\MAT_053_110_slab.cif,H2O adsorption structure
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,1,data\h2o_adsorbates\MAT_053_H2O_site1.cif,data\substituted_slabs\MAT_053_110_slab.cif,H2O adsorption structure
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,2,data\h2o_adsorbates\MAT_053_H2O_site2.cif,data\substituted_slabs\MAT_053_110_slab.cif,H2O adsorption structure
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,0,data\h2o_adsorbates\MAT_054_H2O_site0.cif,data\substituted_slabs\MAT_054_110_slab.cif,H2O adsorption structure
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,1,data\h2o_adsorbates\MAT_054_H2O_site1.cif,data\substituted_slabs\MAT_054_110_slab.cif,H2O adsorption structure
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,2,data\h2o_adsorbates\MAT_054_H2O_site2.cif,data\substituted_slabs\MAT_054_110_slab.cif,H2O adsorption structure
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,0,data\h2o_adsorbates\MAT_055_H2O_site0.cif,data\substituted_slabs\MAT_055_110_slab.cif,H2O adsorption structure
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,1,data\h2o_adsorbates\MAT_055_H2O_site1.cif,data\substituted_slabs\MAT_055_110_slab.cif,H2O adsorption structure
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,2,data\h2o_adsorbates\MAT_055_H2O_site2.cif,data\substituted_slabs\MAT_055_110_slab.cif,H2O adsorption structure
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,0,data\h2o_adsorbates\MAT_057_H2O_site0.cif,data\substituted_slabs\MAT_057_110_slab.cif,H2O adsorption structure
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,1,data\h2o_adsorbates\MAT_057_H2O_site1.cif,data\substituted_slabs\MAT_057_110_slab.cif,H2O adsorption structure
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,2,data\h2o_adsorbates\MAT_057_H2O_site2.cif,data\substituted_slabs\MAT_057_110_slab.cif,H2O adsorption structure
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,0,data\h2o_adsorbates\MAT_058_H2O_site0.cif,data\substituted_slabs\MAT_058_110_slab.cif,H2O adsorption structure
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,1,data\h2o_adsorbates\MAT_058_H2O_site1.cif,data\substituted_slabs\MAT_058_110_slab.cif,H2O adsorption structure
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,2,data\h2o_adsorbates\MAT_058_H2O_site2.cif,data\substituted_slabs\MAT_058_110_slab.cif,H2O adsorption structure
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,0,data\h2o_adsorbates\MAT_059_H2O_site0.cif,data\substituted_slabs\MAT_059_110_slab.cif,H2O adsorption structure
