material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_energy_eV,adsorbate_structure_file,parent_slab_file,backend,notes
MAT_034,V,0.75,0.25,Ru0.75V0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_034_O2_adsorbed.cif,data\substituted_slabs\MAT_034_110_slab.cif,placeholder,placeholder energies
MAT_034,V,0.75,0.25,Ru0.75V0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_034_N2O_adsorbed.cif,data\substituted_slabs\MAT_034_110_slab.cif,placeholder,placeholder energies
MAT_035,V,0.5,0.5,Ru0.50V0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_035_O_adsorbed.cif,data\substituted_slabs\MAT_035_110_slab.cif,placeholder,placeholder energies
MAT_035,V,0.5,0.5,Ru0.50V0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_035_O2_adsorbed.cif,data\substituted_slabs\MAT_035_110_slab.cif,placeholder,placeholder energies
MAT_035,V,0.5,0.5,Ru0.50V0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_035_N2O_adsorbed.cif,data\substituted_slabs\MAT_035_110_slab.cif,placeholder,placeholder energies
MAT_036,V,0.25,0.75,Ru0.25V0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_036_O_adsorbed.cif,data\substituted_slabs\MAT_036_110_slab.cif,placeholder,placeholder energies
MAT_036,V,0.25,0.75,Ru0.25V0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_036_O2_adsorbed.cif,data\substituted_slabs\MAT_036_110_slab.cif,placeholder,placeholder energies
MAT_036,V,0.25,0.75,Ru0.25V0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_036_N2O_adsorbed.cif,data\substituted_slabs\MAT_036_110_slab.cif,placeholder,placeholder energies
MAT_038,Si,0.75,0.25,Ru0.75Si0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_038_O_adsorbed.cif,data\substituted_slabs\MAT_038_110_slab.cif,placeholder,placeholder energies
MAT_038,Si,0.75,0.25,Ru0.75Si0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_038_O2_adsorbed.cif,data\substituted_slabs\MAT_038_110_slab.cif,placeholder,placeholder energies
MAT_038,Si,0.75,0.25,Ru0.75Si0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_038_N2O_adsorbed.cif,data\substituted_slabs\MAT_038_110_slab.cif,placeholder,placeholder energies
MAT_039,Si,0.5,0.5,Ru0.50Si0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_039_O_adsorbed.cif,data\substituted_slabs\MAT_039_110_slab.cif,placeholder,placeholder energies
MAT_039,Si,0.5,0.5,Ru0.50Si0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_039_O2_adsorbed.cif,data\substituted_slabs\MAT_039_110_slab.cif,placeholder,placeholder energies
MAT_039,Si,0.5,0.5,Ru0.50Si0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_039_N2O_adsorbed.cif,data\substituted_slabs\MAT_039_110_slab.cif,placeholder,placeholder energies
MAT_040,Si,0.25,0.75,Ru0.25Si0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_040_O_adsorbed.cif,data\substituted_slabs\MAT_040_110_slab.cif,placeholder,placeholder energies
MAT_040,Si,0.25,0.75,Ru0.25Si0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_040_O2_adsorbed.cif,data\substituted_slabs\MAT_040_110_slab.cif,placeholder,placeholder energies
MAT_040,Si,0.25,0.75,Ru0.25Si0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_040_N2O_adsorbed.cif,data\substituted_slabs\MAT_040_110_slab.cif,placeholder,placeholder energies
